        Strain       XX(GPa)       YY(GPa)       ZZ(GPa)       YZ(GPa)       ZX(GPa)       XY(GPa)
     -0.010000     -0.112341     -0.092409      0.000593      0.000000     -0.000012      0.000000
     -0.007500     -0.080126     -0.067618      0.000546      0.000000      0.000000      0.000000
     -0.005000     -0.049894     -0.043546      0.000641      0.000000     -0.000002      0.000000
     -0.002500     -0.024164     -0.022111     -0.000247      0.000000      0.000003      0.000000
      0.000000      0.000851     -0.000093      0.001376      0.000000      0.000000      0.000000
      0.002500      0.029620      0.022523      0.000794      0.000000     -0.000003      0.000000
      0.005000      0.055476      0.043874      0.000652      0.000000      0.000003      0.000000
      0.007500      0.080030      0.064805      0.000498      0.000000     -0.000001      0.000000
      0.010000      0.102836      0.084796      0.000541      0.000000     -0.000006      0.000000
