strainAxisLabel,  polAxis,  epsilon,  pIon,      pEle,     vol,     a,            b,            c,             shift
#Char,            Integer,  Float,    e*Angst,   e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
X,                2,        -0.008,   14.96966,  2.67644,  693.24,  6.578363265,  4.434446846,  23.764200230,  0
X,                2,        -0.004,   14.97152,  2.67497,  696.03,  6.604888923,  4.434446846,  23.764200230,  0
X,                2,        0.000,    14.97331,  2.67370,  698.83,  6.631414582,  4.434446846,  23.764200230,  0
X,                2,        0.004,    14.97534,  2.67200,  701.62,  6.657940240,  4.434446846,  23.764200230,  0
X,                2,        0.008,    14.97748,  2.67007,  704.42,  6.684465898,  4.434446846,  23.764200230,  0
