# energy dos
-1.950860000000000127e+01 1.554999999999999993e-01
-1.946710000000000207e+01 1.564000000000000112e-01
-1.942569999999999908e+01 1.570999999999999897e-01
-1.938419999999999987e+01 1.575000000000000011e-01
-1.934270000000000067e+01 1.580000000000000016e-01
-1.930120000000000147e+01 1.590999999999999914e-01
-1.925979999999999848e+01 1.602999999999999980e-01
-1.921829999999999927e+01 1.618999999999999884e-01
-1.917680000000000007e+01 1.635999999999999954e-01
-1.913530000000000086e+01 1.655000000000000082e-01
-1.909389999999999787e+01 1.673999999999999932e-01
-1.905239999999999867e+01 1.693000000000000060e-01
-1.901089999999999947e+01 1.711999999999999911e-01
-1.896940000000000026e+01 1.731000000000000039e-01
-1.892800000000000082e+01 1.749999999999999889e-01
-1.888649999999999807e+01 1.769000000000000017e-01
-1.884499999999999886e+01 1.789000000000000035e-01
-1.880359999999999943e+01 1.807999999999999885e-01
-1.876210000000000022e+01 1.827999999999999903e-01
-1.872059999999999746e+01 1.847000000000000031e-01
-1.867909999999999826e+01 1.867000000000000048e-01
-1.863770000000000238e+01 1.887000000000000066e-01
-1.859619999999999962e+01 1.907000000000000084e-01
-1.855470000000000041e+01 1.927000000000000102e-01
-1.851319999999999766e+01 1.947000000000000119e-01
-1.847180000000000177e+01 1.967000000000000137e-01
-1.843030000000000257e+01 1.986999999999999877e-01
-1.838879999999999981e+01 2.008000000000000063e-01
-1.834740000000000038e+01 2.028000000000000080e-01
-1.830590000000000117e+01 2.048999999999999988e-01
-1.826440000000000197e+01 2.069000000000000006e-01
-1.822289999999999921e+01 2.089999999999999913e-01
-1.818149999999999977e+01 2.111000000000000099e-01
-1.814000000000000057e+01 2.132000000000000006e-01
-1.809850000000000136e+01 2.152999999999999914e-01
-1.805700000000000216e+01 2.174000000000000099e-01
-1.801559999999999917e+01 2.195000000000000007e-01
-1.797409999999999997e+01 2.217000000000000082e-01
-1.793260000000000076e+01 2.237999999999999989e-01
-1.789110000000000156e+01 2.250000000000000056e-01
-1.784969999999999857e+01 2.258999999999999897e-01
-1.780819999999999936e+01 2.270999999999999963e-01
-1.776670000000000016e+01 2.285000000000000087e-01
-1.772530000000000072e+01 2.300999999999999990e-01
-1.768379999999999797e+01 2.318999999999999950e-01
-1.764229999999999876e+01 2.338000000000000078e-01
-1.760079999999999956e+01 2.356000000000000039e-01
-1.755940000000000012e+01 2.373999999999999999e-01
-1.751790000000000092e+01 2.393000000000000127e-01
-1.747639999999999816e+01 2.411999999999999977e-01
-1.743489999999999895e+01 2.431000000000000105e-01
-1.739349999999999952e+01 2.451000000000000123e-01
-1.735200000000000031e+01 2.469999999999999973e-01
-1.731050000000000111e+01 2.489999999999999991e-01
-1.726899999999999835e+01 2.510000000000000009e-01
-1.722759999999999891e+01 2.530000000000000027e-01
-1.718609999999999971e+01 2.550000000000000044e-01
-1.714460000000000051e+01 2.570000000000000062e-01
-1.710320000000000107e+01 2.590999999999999970e-01
-1.706170000000000186e+01 2.611999999999999877e-01
-1.702019999999999911e+01 2.632999999999999785e-01
-1.697869999999999990e+01 2.656999999999999917e-01
-1.693730000000000047e+01 2.681999999999999940e-01
-1.689580000000000126e+01 2.708999999999999742e-01
-1.685430000000000206e+01 2.738999999999999768e-01
-1.681279999999999930e+01 2.770000000000000240e-01
-1.677139999999999986e+01 2.802999999999999936e-01
-1.672990000000000066e+01 2.837999999999999967e-01
-1.668840000000000146e+01 2.876000000000000223e-01
-1.664690000000000225e+01 2.914999999999999813e-01
-1.660549999999999926e+01 2.955999999999999739e-01
-1.656400000000000006e+01 3.028000000000000136e-01
-1.652250000000000085e+01 3.103000000000000203e-01
-1.648110000000000142e+01 3.174000000000000155e-01
-1.643959999999999866e+01 3.241999999999999882e-01
-1.639809999999999945e+01 3.305000000000000160e-01
-1.635660000000000025e+01 3.363999999999999768e-01
-1.631520000000000081e+01 3.418999999999999817e-01
-1.627369999999999806e+01 3.468999999999999861e-01
-1.623219999999999885e+01 3.514999999999999791e-01
-1.619069999999999965e+01 3.557000000000000162e-01
-1.614930000000000021e+01 3.593999999999999972e-01
-1.610780000000000101e+01 3.627000000000000224e-01
-1.606629999999999825e+01 3.655999999999999805e-01
-1.602479999999999905e+01 3.680999999999999828e-01
-1.598339999999999961e+01 3.700999999999999845e-01
-1.594190000000000040e+01 3.716999999999999749e-01
-1.590040000000000120e+01 3.729000000000000092e-01
-1.585899999999999999e+01 3.735999999999999877e-01
-1.581749999999999901e+01 3.739000000000000101e-01
