strainAxisLabel,  polAxis,  epsilon,  pIon,       pEle,     vol,     a,            b,            c,             shift
#Char,            Integer,  Float,    e*Angst,    e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
Y,                2,        -0.008,   -17.49719,  5.50143,  979.88,  4.182267013,  8.422835983,  27.816604850,  0
Y,                2,        -0.004,   -17.47675,  5.00227,  983.83,  4.182267013,  8.456799031,  27.816604850,  0
Y,                2,        0.000,    -17.46413,  4.55669,  987.79,  4.182267013,  8.490762080,  27.816604850,  0
Y,                2,        0.004,    -17.45490,  4.13882,  991.74,  4.182267013,  8.524725128,  27.816604850,  0
Y,                2,        0.008,    -17.45368,  3.77039,  995.69,  4.182267013,  8.558688176,  27.816604850,  0
