atoms,image-no,energy
8280,0,-927608.209694567
8280,1,-903592.735021731
8280,2,-884715.986419851
8280,3,-885461.128988534
8280,4,-898464.941558584
8280,5,-931687.344878489
8280,6,-962951.930897902
