strainAxisLabel,  polAxis,  epsilon,  pIon,       pEle,     vol,     a,            b,            c,             shift
#Char,            Integer,  Float,    e*Angst,    e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
Y,                2,        -0.008,   -37.91738,  2.62334,  693.24,  6.631414582,  4.398971272,  23.764200230,  12
Y,                2,        -0.004,   14.92189,   2.64822,  696.03,  6.631414582,  4.416709059,  23.764200230,  0
Y,                2,        0.000,    14.97331,   2.67370,  698.83,  6.631414582,  4.434446846,  23.764200230,  0
Y,                2,        0.004,    15.02523,   2.69820,  701.62,  6.631414582,  4.452184634,  23.764200230,  0
Y,                2,        0.008,    15.07723,   2.72277,  704.42,  6.631414582,  4.469922421,  23.764200230,  0
