0.000 -0.0000 -0.000
0.0028 0.0038 1.971
0.004 0.0055 2.817
0.0057 0.0078 4.015
0.008 0.0110 5.637
0.0085 0.0116 5.990
0.0113 0.0155 7.969
0.012 0.0165 8.465
0.014 0.0192 9.885
0.0142 0.0195 10.027
0.0156 0.0214 11.025
0.016 0.0220 11.311
