  #K-Path    Energy        Sn        Se
# NKPTS & NBANDS:  60  14
# Band-Index    1
    0.264    2.7846     0.594     0.102
    0.302    2.5790     0.598     0.094
    0.340    2.3799     0.601     0.086
    0.377    2.1920     0.606     0.078
    0.415    2.0201     0.612     0.070
    0.453    1.8684     0.617     0.062
    0.490    1.7410     0.620     0.056
    0.528    1.6843     0.344     0.122
    0.566    1.6742     0.358     0.266
    0.604    1.5371     0.620     0.056
    0.641    1.5350     0.616     0.062
    0.679    1.5661     0.608     0.072
    0.717    1.6288     0.598     0.082
    0.717    1.6288     0.598     0.082
    0.755    1.7142     0.573     0.108
    0.794    1.9108     0.532     0.147
    0.832    2.1344     0.481     0.170
    0.871    2.3047     0.414     0.164
    0.909    2.4061     0.389     0.156
    0.948    2.4946     0.393     0.156
    0.987    2.5973     0.405     0.161
    1.025    2.7282     0.423     0.172
    1.064    2.8970     0.438     0.189
    1.102    3.1034     0.447     0.212
    1.141    3.3337     0.449     0.232
    1.179    3.5672     0.441     0.249
    1.218    3.7841     0.426     0.261
    1.256    3.9689     0.398     0.266
    1.295    4.1112     0.359     0.260
    1.333    4.2072     0.299     0.225
    1.372    4.2572     0.226     0.156
    1.410    4.2727     0.183     0.101
    1.449    4.2749     0.171     0.083
    1.449    4.2749     0.171     0.082
    1.503    4.2442     0.203     0.127
    1.557    4.1256     0.311     0.220
    1.611    3.8863     0.411     0.252
    1.664    3.5519     0.463     0.237
    1.718    3.1707     0.488     0.206
    1.772    2.9862     0.352     0.204
    1.826    2.9478     0.372     0.310
    1.880    2.4683     0.404     0.286
    1.934    2.0113     0.430     0.252
    1.988    1.7680     0.480     0.062
    2.042    1.7189     0.534     0.064
    2.096    1.9679     0.546     0.118
    2.150    2.3982     0.514     0.160
    2.204    2.8197     0.464     0.182
    2.258    3.0442     0.346     0.168
    2.311    3.0321     0.274     0.136
    2.365    3.1259     0.504     0.138
    2.419    3.3192     0.219     0.110
    2.473    3.3345     0.124     0.092
 
# Band-Index   14
    2.473    3.5125     0.478     0.108
    2.419    3.4615     0.388     0.096
    2.365    3.4129     0.124     0.076
    2.311    3.4347     0.119     0.094
    2.258    3.4672     0.174     0.124
    2.204    3.5038     0.178     0.148
    2.150    3.5128     0.285     0.194
    2.096    3.5109     0.273     0.221
    2.042    3.4620     0.292     0.238
    1.988    3.3746     0.310     0.240
    1.934    3.2717     0.324     0.232
    1.880    3.1691     0.338     0.222
    1.826    3.0828     0.358     0.212
    1.772    3.4584     0.374     0.326
    1.718    3.9324     0.358     0.340
    1.664    4.3373     0.225     0.153
    1.611    4.3401     0.245     0.157
    1.557    4.3639     0.283     0.211
    1.503    4.3100     0.178     0.089
    1.449    4.2749     0.171     0.083
    1.449    4.2749     0.172     0.083
    1.410    4.2732     0.180     0.097
    1.372    4.2644     0.201     0.127
    1.333    4.2074     0.297     0.223
    1.295    4.1129     0.351     0.253
    1.256    3.9691     0.398     0.266
    1.218    3.7842     0.426     0.261
    1.179    3.5672     0.441     0.249
    1.141    3.3338     0.449     0.232
    1.102    3.1034     0.447     0.211
    1.064    2.8970     0.438     0.189
    1.025    2.7282     0.423     0.172
    0.987    2.5974     0.406     0.161
    0.948    2.4946     0.392     0.155
    0.909    2.4061     0.389     0.156
    0.871    2.3049     0.415     0.164
    0.832    2.1344     0.481     0.170
    0.794    1.9108     0.531     0.146
    0.755    1.7142     0.573     0.107
    0.717    1.6288     0.598     0.082
    0.717    1.6288     0.598     0.082
    0.679    1.7206     0.588     0.094
    0.641    1.8387     0.576     0.108
    0.604    1.9344     0.366     0.112
    0.566    1.8218     0.390     0.098
    0.528    1.9089     0.406     0.234
    0.490    2.1128     0.392     0.252
    0.453    2.3153     0.386     0.255
    0.415    2.5077     0.377     0.256
    0.377    2.6831     0.366     0.252
    0.340    2.8323     0.352     0.244
    0.302    2.9453     0.333     0.229
    0.264    3.0139     0.312     0.207
    0.226    3.0375     0.291     0.180
    0.189    3.1914     0.593     0.117
    0.151    3.3847     0.570     0.122
    0.113    3.4486     0.118     0.062
    0.075    3.4517     0.238     0.072
    0.038    3.4889     0.422     0.098
    0.000    3.5123     0.478     0.108
