  #K-Path    Energy        Sn        Se
# NKPTS & NBANDS:  60  14
# Band-Index    1
    1.664   -6.9837     0.674     0.098
    1.718   -7.0844     0.668     0.096
    1.772   -7.1756     0.664     0.094
    1.826   -7.2500     0.662     0.094
    1.880   -7.3024     0.660     0.092
    1.934   -7.3299     0.660     0.092
    1.988   -7.3309     0.660     0.094
    2.042   -7.3054     0.662     0.094
    2.096   -7.2549     0.664     0.096
    2.150   -7.1824     0.668     0.100
    2.204   -7.0929     0.674     0.102
    2.258   -6.9936     0.682     0.104
    2.311   -6.8942     0.690     0.106
    2.365   -6.8073     0.700     0.106
    2.419   -6.7472     0.708     0.106
    2.473   -6.7255     0.710     0.106
 
# Band-Index    4
    2.473   -5.7483     0.522     0.280
    2.419   -5.7731     0.522     0.278
    2.365   -5.8440     0.524     0.274
    2.311   -5.9517     0.528     0.268
    2.258   -6.0836     0.530     0.260
    2.204   -6.2277     0.534     0.250
    2.150   -6.3736     0.536     0.240
    2.096   -6.5129     0.542     0.230
    2.042   -6.6395     0.546     0.220
    1.988   -6.7485     0.552     0.208
    1.934   -6.8365     0.560     0.196
    1.880   -6.9007     0.570     0.184
    1.826   -6.9394     0.580     0.172
    1.772   -6.9516     0.592     0.160
    1.718   -6.9380     0.606     0.148
    1.664   -6.9011     0.624     0.136
    1.611   -6.8468     0.642     0.124
    1.557   -6.7863     0.664     0.114
    1.503   -6.7365     0.684     0.106
    1.449   -6.7168     0.692     0.101
    1.449   -6.7168     0.692     0.101
    1.410   -6.7266     0.690     0.103
    1.372   -6.7552     0.683     0.105
    1.333   -6.8001     0.673     0.108
    1.295   -6.8576     0.662     0.112
    1.256   -6.9242     0.649     0.116
    1.218   -6.9963     0.638     0.119
    1.179   -7.0708     0.627     0.123
    1.141   -7.1454     0.617     0.126
    1.102   -7.2180     0.609     0.129
    1.064   -7.2869     0.601     0.131
    1.025   -7.3511     0.595     0.133
    0.987   -7.4094     0.589     0.133
    0.948   -7.4612     0.585     0.135
    0.909   -7.5059     0.581     0.136
    0.871   -7.5430     0.578     0.137
    0.832   -7.5721     0.576     0.138
    0.794   -7.5931     0.574     0.138
    0.755   -7.6058     0.573     0.138
    0.717   -7.6100     0.572     0.138
    0.717   -7.6100     0.572     0.138
    0.679   -7.5549     0.566     0.146
    0.641   -7.4851     0.560     0.156
    0.604   -7.4017     0.554     0.166
    0.566   -7.3058     0.548     0.176
    0.528   -7.1988     0.544     0.184
    0.490   -7.0820     0.540     0.194
    0.453   -6.9572     0.536     0.204
    0.415   -6.8261     0.534     0.214
    0.377   -6.6909     0.532     0.222
    0.340   -6.5539     0.530     0.232
    0.302   -6.4176     0.528     0.240
    0.264   -6.2850     0.528     0.248
    0.226   -6.1594     0.528     0.256
    0.189   -6.0444     0.526     0.262
    0.151   -5.9437     0.526     0.268
    0.113   -5.8609     0.524     0.274
