        Strain       XX(GPa)       YY(GPa)       ZZ(GPa)       YZ(GPa)       ZX(GPa)       XY(GPa)
     -0.010000     -0.092519     -0.219764      0.000613      0.000000      0.000000      0.000000
     -0.007500     -0.067733     -0.163594      0.000171      0.000000      0.000000      0.000000
     -0.005000     -0.043721     -0.108031      0.000245      0.000000      0.000000      0.000000
     -0.002500     -0.020088     -0.053285      0.000054      0.000000      0.000001      0.000000
      0.000000      0.000851     -0.000093      0.001376      0.000000      0.000000      0.000000
      0.002500      0.023982      0.053051      0.000195      0.000000     -0.000002      0.000000
      0.005000      0.046428      0.105875      0.000970      0.000000      0.000000      0.000000
      0.007500      0.067306      0.157031      0.001325      0.000000      0.000000      0.000000
      0.010000      0.086889      0.207448      0.000597      0.000000      0.000002      0.000000
