        Strain       XX(GPa)       YY(GPa)       ZZ(GPa)       YZ(GPa)       ZX(GPa)       XY(GPa)
     -0.010000     -0.113154     -0.113715      0.000310      0.000000      0.000000     -0.093546
     -0.007500     -0.084651     -0.079571     -0.000342      0.000000      0.000000     -0.067807
     -0.005000     -0.050619     -0.047813      0.000970      0.000000      0.000000     -0.045149
     -0.002500     -0.024036     -0.022365      0.000655      0.000000      0.000000     -0.022494
      0.000000      0.000878     -0.000064      0.001418      0.000000      0.000000      0.000000
      0.002500      0.029159      0.021875     -0.000024      0.000000      0.000000      0.022276
      0.005000      0.055530      0.041885      0.000168      0.000000      0.000000      0.043645
      0.007500      0.077917      0.059057     -0.001098      0.000000      0.000000      0.062220
      0.010000      0.100902      0.076285      0.000177      0.000000      0.000000      0.082871
