# energy dos
-8.049799999999999400e+00 1.998000000000000114e+02
-8.029799999999999827e+00 0.000000000000000000e+00
-8.009800000000000253e+00 0.000000000000000000e+00
-7.989700000000000024e+00 0.000000000000000000e+00
-7.969700000000000450e+00 0.000000000000000000e+00
-7.949700000000000877e+00 0.000000000000000000e+00
-7.929699999999999527e+00 0.000000000000000000e+00
-7.909699999999999953e+00 0.000000000000000000e+00
-7.889600000000000612e+00 0.000000000000000000e+00
-7.869600000000001039e+00 0.000000000000000000e+00
-7.849599999999999689e+00 0.000000000000000000e+00
-7.829600000000000115e+00 0.000000000000000000e+00
-7.809600000000000541e+00 0.000000000000000000e+00
-7.789499999999999424e+00 0.000000000000000000e+00
-7.769499999999999851e+00 0.000000000000000000e+00
-7.749500000000000277e+00 0.000000000000000000e+00
-7.729500000000000703e+00 0.000000000000000000e+00
-7.709500000000001130e+00 0.000000000000000000e+00
-7.689400000000000013e+00 0.000000000000000000e+00
-7.669400000000000439e+00 0.000000000000000000e+00
-7.649400000000000865e+00 0.000000000000000000e+00
-7.629399999999999515e+00 0.000000000000000000e+00
-7.609399999999999942e+00 0.000000000000000000e+00
-7.589300000000000601e+00 0.000000000000000000e+00
-7.569300000000001027e+00 0.000000000000000000e+00
-7.549299999999999677e+00 1.000000000000000048e-04
-7.529300000000000104e+00 2.999999999999999737e-04
-7.509300000000000530e+00 8.000000000000000383e-04
-7.489199999999999413e+00 2.099999999999999870e-03
-7.469199999999999839e+00 5.499999999999999681e-03
-7.449200000000000266e+00 1.329999999999999932e-02
-7.429200000000000692e+00 2.970000000000000070e-02
-7.409200000000001118e+00 6.199999999999999956e-02
-7.389100000000000001e+00 1.207000000000000017e-01
-7.369100000000000428e+00 2.199000000000000121e-01
-7.349100000000000854e+00 3.754000000000000115e-01
-7.329099999999999504e+00 6.018999999999999906e-01
-7.309099999999999930e+00 9.082999999999999963e-01
-7.289000000000000590e+00 1.293199999999999905e+00
-7.269000000000001016e+00 1.740699999999999914e+00
-7.248999999999999666e+00 2.219599999999999795e+00
-7.229000000000000092e+00 2.686700000000000088e+00
-7.209000000000000519e+00 3.093599999999999905e+00
-7.188899999999999402e+00 3.396999999999999797e+00
-7.168899999999999828e+00 3.569100000000000161e+00
-7.148900000000000254e+00 3.603600000000000136e+00
-7.128900000000000681e+00 3.517300000000000093e+00
-7.108900000000001107e+00 3.343999999999999861e+00
-7.088799999999999990e+00 3.125599999999999934e+00
-7.068800000000000416e+00 2.902800000000000047e+00
-7.048800000000000843e+00 2.708000000000000185e+00
-7.028799999999999493e+00 2.562899999999999956e+00
-7.008799999999999919e+00 2.478699999999999903e+00
