# energy s p d
-7.008799999999999919e+00 7.580000000000000626e-02 2.405999999999999805e-01 5.399999999999999419e-03
-6.988700000000000578e+00 7.259999999999999787e-02 2.360000000000000153e-01 5.800000000000000468e-03
-6.968700000000001005e+00 7.040000000000000424e-02 2.368000000000000105e-01 6.399999999999999439e-03
-6.948699999999999655e+00 6.900000000000000577e-02 2.411999999999999977e-01 6.999999999999999278e-03
-6.928700000000000081e+00 6.800000000000000488e-02 2.477999999999999925e-01 7.799999999999999642e-03
-6.908700000000000507e+00 6.759999999999999343e-02 2.540000000000000036e-01 8.399999999999999481e-03
-6.888600000000001167e+00 6.740000000000000158e-02 2.583999999999999631e-01 9.000000000000001055e-03
-6.868599999999999817e+00 6.719999999999999585e-02 2.596000000000000529e-01 9.400000000000000369e-03
-6.848600000000000243e+00 6.719999999999999585e-02 2.571999999999999842e-01 9.600000000000000894e-03
-6.828600000000000669e+00 6.740000000000000158e-02 2.513999999999999568e-01 9.600000000000000894e-03
-6.808600000000001096e+00 6.759999999999999343e-02 2.435999999999999832e-01 9.400000000000000369e-03
-6.788499999999999979e+00 6.779999999999999916e-02 2.352000000000000202e-01 9.199999999999999845e-03
-6.768500000000000405e+00 6.800000000000000488e-02 2.262000000000000122e-01 9.400000000000000369e-03
-6.748500000000000831e+00 6.840000000000000246e-02 2.182000000000000051e-01 9.199999999999999845e-03
-6.728499999999999481e+00 6.900000000000000577e-02 2.116000000000000103e-01 8.999999999999999320e-03
-6.708499999999999908e+00 7.019999999999999851e-02 2.061999999999999944e-01 8.999999999999999320e-03
-6.688400000000000567e+00 7.199999999999999456e-02 2.030000000000000138e-01 8.999999999999999320e-03
-6.668400000000000993e+00 7.480000000000000537e-02 2.017999999999999794e-01 9.199999999999999845e-03
-6.648399999999999643e+00 7.900000000000000078e-02 2.031999999999999917e-01 9.600000000000000894e-03
-6.628400000000000070e+00 8.519999999999999796e-02 2.076000000000000068e-01 1.000000000000000021e-02
-6.608400000000000496e+00 9.360000000000000264e-02 2.153999999999999804e-01 1.060000000000000005e-02
-6.588300000000001155e+00 1.045999999999999985e-01 2.268000000000000016e-01 1.119999999999999989e-02
-6.568299999999999805e+00 1.171999999999999986e-01 2.408000000000000140e-01 1.200000000000000198e-02
-6.548300000000000232e+00 1.303999999999999881e-01 2.563999999999999613e-01 1.280000000000000061e-02
-6.528300000000000658e+00 1.431999999999999940e-01 2.713999999999999746e-01 1.400000000000000029e-02
-6.508300000000001084e+00 1.544000000000000095e-01 2.847999999999999976e-01 1.480000000000000066e-02
-6.488199999999999967e+00 1.630000000000000060e-01 2.958000000000000074e-01 1.579999999999999807e-02
-6.468200000000000394e+00 1.693999999999999950e-01 3.044000000000000039e-01 1.700000000000000122e-02
-6.448200000000000820e+00 1.741999999999999937e-01 3.118000000000000216e-01 1.820000000000000090e-02
-6.428199999999999470e+00 1.779999999999999916e-01 3.187999999999999723e-01 1.959999999999999937e-02
-6.408199999999999896e+00 1.812000000000000000e-01 3.262000000000000455e-01 2.120000000000000009e-02
-6.388100000000000556e+00 1.842000000000000026e-01 3.333999999999999742e-01 2.279999999999999735e-02
-6.368100000000000982e+00 1.862000000000000044e-01 3.386000000000000121e-01 2.439999999999999808e-02
-6.348099999999999632e+00 1.862000000000000044e-01 3.389999999999999680e-01 2.539999999999999897e-02
-6.328100000000000058e+00 1.832000000000000017e-01 3.317999999999999838e-01 2.520000000000000018e-02
-6.308100000000000485e+00 1.761999999999999955e-01 3.144000000000000128e-01 2.419999999999999929e-02
-6.288000000000001144e+00 1.650000000000000078e-01 2.867999999999999994e-01 2.219999999999999751e-02
-6.267999999999999794e+00 1.504000000000000059e-01 2.505999999999999894e-01 1.899999999999999953e-02
-6.248000000000000220e+00 1.335999999999999965e-01 2.101999999999999980e-01 1.540000000000000223e-02
-6.228000000000000647e+00 1.165999999999999953e-01 1.691999999999999893e-01 1.160000000000000094e-02
-6.208000000000001073e+00 1.014000000000000040e-01 1.325999999999999956e-01 8.200000000000000691e-03
-6.187899999999999956e+00 8.939999999999999336e-02 1.027999999999999886e-01 5.400000000000000286e-03
-6.167900000000000382e+00 8.079999999999999682e-02 8.119999999999999440e-02 3.599999999999999901e-03
-6.147900000000000809e+00 7.539999999999999480e-02 6.640000000000000069e-02 2.000000000000000042e-03
-6.127899999999999459e+00 7.220000000000000029e-02 5.720000000000000084e-02 1.199999999999999895e-03
-6.107899999999999885e+00 7.059999999999999609e-02 5.179999999999999882e-02 6.000000000000000559e-04
-6.087800000000000544e+00 6.940000000000000335e-02 4.879999999999999616e-02 4.000000000000000192e-04
-6.067800000000000971e+00 6.880000000000000004e-02 4.680000000000000132e-02 4.000000000000000192e-04
-6.047800000000000509e+00 6.859999999999999432e-02 4.560000000000000164e-02 2.000000000000000096e-04
-6.027800000000000047e+00 6.900000000000000577e-02 4.520000000000000406e-02 2.000000000000000096e-04
-6.007800000000000473e+00 7.000000000000000666e-02 4.480000000000000648e-02 0.000000000000000000e+00
-5.987700000000000244e+00 7.099999999999999367e-02 4.499999999999999833e-02 0.000000000000000000e+00
-5.967700000000000671e+00 7.199999999999999456e-02 4.499999999999999833e-02 0.000000000000000000e+00
-5.947700000000000209e+00 7.240000000000000602e-02 4.499999999999999833e-02 0.000000000000000000e+00
-5.927700000000000635e+00 7.280000000000000360e-02 4.460000000000000075e-02 0.000000000000000000e+00
-5.907700000000000173e+00 7.299999999999999545e-02 4.420000000000000318e-02 0.000000000000000000e+00
-5.887599999999999945e+00 7.359999999999999876e-02 4.420000000000000318e-02 0.000000000000000000e+00
-5.867600000000000371e+00 7.480000000000000537e-02 4.399999999999999745e-02 0.000000000000000000e+00
-5.847599999999999909e+00 7.620000000000000384e-02 4.460000000000000075e-02 0.000000000000000000e+00
-5.827600000000000335e+00 7.779999999999999416e-02 4.479999999999999954e-02 0.000000000000000000e+00
-5.807599999999999874e+00 7.920000000000000651e-02 4.520000000000000406e-02 0.000000000000000000e+00
-5.787500000000000533e+00 8.039999999999999925e-02 4.539999999999999591e-02 0.000000000000000000e+00
-5.767500000000000071e+00 8.119999999999999440e-02 4.539999999999999591e-02 0.000000000000000000e+00
-5.747500000000000497e+00 8.240000000000000102e-02 4.560000000000000164e-02 0.000000000000000000e+00
-5.727500000000000036e+00 8.379999999999999949e-02 4.580000000000000043e-02 0.000000000000000000e+00
-5.707500000000000462e+00 8.580000000000000127e-02 4.639999999999999680e-02 0.000000000000000000e+00
-5.687400000000000233e+00 8.820000000000000062e-02 4.700000000000000011e-02 0.000000000000000000e+00
-5.667400000000000659e+00 9.099999999999999756e-02 4.800000000000000100e-02 0.000000000000000000e+00
-5.647400000000000198e+00 9.360000000000000264e-02 4.880000000000000310e-02 0.000000000000000000e+00
-5.627400000000000624e+00 9.619999999999999385e-02 4.979999999999999705e-02 0.000000000000000000e+00
-5.607400000000000162e+00 9.900000000000000466e-02 5.060000000000000608e-02 0.000000000000000000e+00
-5.587299999999999933e+00 1.024000000000000049e-01 5.159999999999999309e-02 0.000000000000000000e+00
-5.567300000000000360e+00 1.068000000000000060e-01 5.339999999999999608e-02 0.000000000000000000e+00
-5.547299999999999898e+00 1.121999999999999942e-01 5.539999999999999786e-02 0.000000000000000000e+00
-5.527300000000000324e+00 1.189999999999999947e-01 5.799999999999999600e-02 0.000000000000000000e+00
-5.507299999999999862e+00 1.274000000000000132e-01 6.159999999999999504e-02 0.000000000000000000e+00
-5.487200000000000522e+00 1.378000000000000058e-01 6.560000000000000553e-02 0.000000000000000000e+00
-5.467200000000000060e+00 1.504000000000000059e-01 7.100000000000000755e-02 0.000000000000000000e+00
-5.447200000000000486e+00 1.652000000000000135e-01 7.719999999999999085e-02 0.000000000000000000e+00
-5.427200000000000024e+00 1.817999999999999894e-01 8.400000000000000522e-02 0.000000000000000000e+00
-5.407200000000000450e+00 1.980000000000000093e-01 9.099999999999999756e-02 0.000000000000000000e+00
-5.387100000000000222e+00 2.109999999999999931e-01 9.620000000000000773e-02 0.000000000000000000e+00
-5.367100000000000648e+00 2.177999999999999936e-01 9.899999999999999079e-02 0.000000000000000000e+00
-5.347100000000000186e+00 2.154000000000000081e-01 9.759999999999999232e-02 0.000000000000000000e+00
-5.327100000000000612e+00 2.026000000000000023e-01 9.140000000000000902e-02 0.000000000000000000e+00
-5.307100000000000151e+00 1.799999999999999933e-01 8.099999999999998868e-02 0.000000000000000000e+00
-5.286999999999999922e+00 1.502000000000000002e-01 6.759999999999999343e-02 0.000000000000000000e+00
-5.267000000000000348e+00 1.175999999999999962e-01 5.259999999999999398e-02 0.000000000000000000e+00
-5.246999999999999886e+00 8.580000000000000127e-02 3.860000000000000236e-02 0.000000000000000000e+00
-5.227000000000000313e+00 5.840000000000000052e-02 2.599999999999999881e-02 0.000000000000000000e+00
-5.206999999999999851e+00 3.699999999999999817e-02 1.660000000000000017e-02 0.000000000000000000e+00
-5.186900000000000510e+00 2.160000000000000114e-02 9.600000000000000894e-03 0.000000000000000000e+00
-5.166900000000000048e+00 1.179999999999999973e-02 5.399999999999999419e-03 0.000000000000000000e+00
-5.146900000000000475e+00 6.000000000000000125e-03 2.599999999999999881e-03 0.000000000000000000e+00
-5.126900000000000013e+00 2.799999999999999972e-03 1.199999999999999895e-03 0.000000000000000000e+00
-5.106900000000000439e+00 1.199999999999999895e-03 5.999999999999999474e-04 0.000000000000000000e+00
-5.086800000000000210e+00 4.000000000000000192e-04 2.000000000000000096e-04 0.000000000000000000e+00
-5.066800000000000637e+00 2.000000000000000096e-04 0.000000000000000000e+00 0.000000000000000000e+00
-5.046800000000000175e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.026800000000000601e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.006800000000000139e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.986699999999999910e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.966700000000000337e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.946699999999999875e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.926700000000000301e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.906700000000000728e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.886600000000000499e+00 0.000000000000000000e+00 4.000000000000000192e-04 0.000000000000000000e+00
-4.866600000000000037e+00 0.000000000000000000e+00 1.399999999999999986e-03 0.000000000000000000e+00
-4.846600000000000463e+00 0.000000000000000000e+00 3.599999999999999901e-03 0.000000000000000000e+00
-4.826600000000000001e+00 2.000000000000000096e-04 8.600000000000000006e-03 0.000000000000000000e+00
-4.806600000000000428e+00 4.000000000000000192e-04 1.820000000000000090e-02 0.000000000000000000e+00
-4.786500000000000199e+00 5.999999999999999474e-04 3.599999999999999728e-02 0.000000000000000000e+00
-4.766500000000000625e+00 1.199999999999999895e-03 6.659999999999999254e-02 4.000000000000000192e-04
-4.746500000000000163e+00 2.000000000000000042e-03 1.136000000000000065e-01 6.000000000000000559e-04
-4.726500000000000590e+00 3.200000000000000153e-03 1.801999999999999991e-01 8.000000000000000383e-04
-4.706500000000000128e+00 4.599999999999999922e-03 2.653999999999999693e-01 1.399999999999999986e-03
-4.686399999999999899e+00 6.400000000000000307e-03 3.641999999999999682e-01 2.000000000000000042e-03
-4.666400000000000325e+00 8.000000000000000167e-03 4.657999999999999918e-01 2.400000000000000223e-03
-4.646399999999999864e+00 9.400000000000000369e-03 5.572000000000000286e-01 2.799999999999999972e-03
-4.626400000000000290e+00 1.020000000000000073e-02 6.258000000000000229e-01 3.400000000000000244e-03
-4.606400000000000716e+00 1.060000000000000005e-02 6.623999999999999888e-01 3.799999999999999992e-03
-4.586300000000000487e+00 1.020000000000000073e-02 6.650000000000000355e-01 3.799999999999999992e-03
-4.566300000000000026e+00 9.400000000000000369e-03 6.383999999999999675e-01 3.799999999999999992e-03
-4.546300000000000452e+00 8.200000000000000691e-03 5.927999999999999936e-01 3.600000000000000335e-03
-4.526299999999999990e+00 6.799999999999999621e-03 5.387999999999999456e-01 3.400000000000000244e-03
-4.506300000000000416e+00 5.599999999999999943e-03 4.861999999999999655e-01 3.200000000000000153e-03
-4.486200000000000188e+00 4.599999999999999922e-03 4.407999999999999696e-01 2.799999999999999972e-03
-4.466200000000000614e+00 4.000000000000000083e-03 4.043999999999999817e-01 2.599999999999999881e-03
-4.446200000000000152e+00 3.399999999999999811e-03 3.760000000000000009e-01 2.599999999999999881e-03
-4.426200000000000578e+00 2.799999999999999972e-03 3.529999999999999805e-01 2.599999999999999881e-03
-4.406200000000000117e+00 2.399999999999999790e-03 3.334000000000000297e-01 2.599999999999999881e-03
-4.386099999999999888e+00 2.200000000000000133e-03 3.152000000000000357e-01 2.200000000000000133e-03
-4.366100000000000314e+00 1.799999999999999951e-03 2.983999999999999986e-01 2.000000000000000042e-03
-4.346099999999999852e+00 1.600000000000000077e-03 2.833999999999999853e-01 2.000000000000000042e-03
-4.326100000000000279e+00 1.399999999999999986e-03 2.711999999999999966e-01 2.000000000000000042e-03
-4.306100000000000705e+00 1.399999999999999986e-03 2.626000000000000001e-01 2.000000000000000042e-03
-4.286000000000000476e+00 1.199999999999999895e-03 2.587999999999999745e-01 2.200000000000000133e-03
-4.266000000000000014e+00 1.199999999999999895e-03 2.588000000000000300e-01 2.200000000000000133e-03
-4.246000000000000441e+00 1.199999999999999895e-03 2.606000000000000538e-01 2.200000000000000133e-03
-4.225999999999999979e+00 1.199999999999999895e-03 2.626000000000000001e-01 2.200000000000000133e-03
-4.206000000000000405e+00 1.399999999999999986e-03 2.620000000000000107e-01 2.400000000000000223e-03
-4.185900000000000176e+00 1.199999999999999895e-03 2.580000000000000071e-01 2.400000000000000223e-03
-4.165900000000000603e+00 1.199999999999999895e-03 2.510000000000000009e-01 2.200000000000000133e-03
-4.145900000000000141e+00 1.199999999999999895e-03 2.421999999999999986e-01 2.200000000000000133e-03
-4.125900000000000567e+00 1.000000000000000021e-03 2.336000000000000298e-01 2.200000000000000133e-03
-4.105900000000000105e+00 1.000000000000000021e-03 2.255999999999999672e-01 2.200000000000000133e-03
-4.085799999999999876e+00 8.000000000000000383e-04 2.190000000000000280e-01 2.400000000000000223e-03
-4.065800000000000303e+00 8.000000000000000383e-04 2.129999999999999949e-01 2.000000000000000042e-03
-4.045800000000000729e+00 8.000000000000000383e-04 2.087999999999999856e-01 2.000000000000000042e-03
-4.025800000000000267e+00 8.000000000000000383e-04 2.064000000000000001e-01 2.000000000000000042e-03
-4.005800000000000693e+00 8.000000000000000383e-04 2.076000000000000068e-01 2.200000000000000133e-03
-3.985700000000000465e+00 1.000000000000000021e-03 2.128000000000000169e-01 2.200000000000000133e-03
-3.965700000000000003e+00 1.000000000000000021e-03 2.209999999999999742e-01 2.400000000000000223e-03
-3.945700000000000429e+00 1.199999999999999895e-03 2.309999999999999831e-01 2.600000000000000314e-03
-3.925699999999999967e+00 1.199999999999999895e-03 2.384000000000000008e-01 2.600000000000000314e-03
-3.905700000000000394e+00 1.399999999999999986e-03 2.404000000000000026e-01 2.600000000000000314e-03
-3.885600000000000165e+00 1.199999999999999895e-03 2.352000000000000202e-01 2.600000000000000314e-03
-3.865600000000000591e+00 1.199999999999999895e-03 2.242000000000000104e-01 2.600000000000000314e-03
-3.845600000000000129e+00 1.199999999999999895e-03 2.103999999999999759e-01 2.000000000000000042e-03
-3.825600000000000556e+00 1.000000000000000021e-03 1.983999999999999653e-01 2.000000000000000042e-03
-3.805600000000000094e+00 1.000000000000000021e-03 1.917999999999999983e-01 1.799999999999999951e-03
-3.785499999999999865e+00 1.000000000000000021e-03 1.910000000000000031e-01 1.799999999999999951e-03
-3.765500000000000291e+00 1.000000000000000021e-03 1.951999999999999846e-01 1.799999999999999951e-03
-3.745500000000000718e+00 1.199999999999999895e-03 2.010000000000000120e-01 1.799999999999999951e-03
-3.725500000000000256e+00 1.199999999999999895e-03 2.050000000000000155e-01 2.000000000000000042e-03
-3.705500000000000682e+00 1.199999999999999895e-03 2.069999999999999896e-01 2.000000000000000042e-03
-3.685400000000000453e+00 1.199999999999999895e-03 2.077999999999999847e-01 2.000000000000000042e-03
-3.665399999999999991e+00 1.399999999999999986e-03 2.120000000000000218e-01 2.000000000000000042e-03
-3.645400000000000418e+00 1.600000000000000077e-03 2.233999999999999875e-01 2.200000000000000133e-03
-3.625399999999999956e+00 2.200000000000000133e-03 2.459999999999999964e-01 2.400000000000000223e-03
-3.605400000000000382e+00 3.200000000000000153e-03 2.817999999999999949e-01 2.800000000000000405e-03
-3.585300000000000153e+00 4.599999999999999922e-03 3.324000000000000288e-01 3.200000000000000587e-03
-3.565300000000000580e+00 6.599999999999999964e-03 3.985999999999999543e-01 3.800000000000000426e-03
-3.545300000000000118e+00 8.999999999999999320e-03 4.789999999999999813e-01 4.200000000000000608e-03
-3.525300000000000544e+00 1.159999999999999920e-02 5.731999999999999318e-01 4.599999999999999922e-03
-3.505300000000000082e+00 1.400000000000000029e-02 6.774000000000000021e-01 5.400000000000000286e-03
-3.485199999999999854e+00 1.619999999999999912e-02 7.878000000000000558e-01 5.800000000000000468e-03
-3.465200000000000280e+00 1.720000000000000001e-02 8.993999999999999773e-01 6.199999999999999782e-03
-3.445200000000000706e+00 1.739999999999999880e-02 1.009599999999999831e+00 6.599999999999999964e-03
-3.425200000000000244e+00 1.640000000000000138e-02 1.116600000000000037e+00 6.800000000000000488e-03
-3.405200000000000671e+00 1.480000000000000066e-02 1.219200000000000061e+00 7.000000000000001013e-03
-3.385100000000000442e+00 1.280000000000000061e-02 1.312200000000000033e+00 6.800000000000000488e-03
-3.365099999999999980e+00 1.060000000000000005e-02 1.388800000000000034e+00 7.000000000000000146e-03
-3.345100000000000406e+00 8.800000000000000530e-03 1.439000000000000057e+00 7.000000000000000146e-03
-3.325099999999999945e+00 7.199999999999999803e-03 1.455200000000000049e+00 6.800000000000000488e-03
-3.305100000000000371e+00 6.199999999999999782e-03 1.436199999999999921e+00 6.599999999999999964e-03
-3.285000000000000142e+00 5.400000000000000286e-03 1.390400000000000080e+00 6.200000000000000649e-03
-3.265000000000000568e+00 5.000000000000000104e-03 1.332799999999999985e+00 6.000000000000000125e-03
-3.245000000000000107e+00 4.799999999999999580e-03 1.282999999999999918e+00 5.599999999999999943e-03
-3.225000000000000533e+00 5.000000000000000104e-03 1.258399999999999963e+00 5.799999999999999600e-03
-3.205000000000000071e+00 5.199999999999999761e-03 1.270000000000000018e+00 5.999999999999999258e-03
-3.184900000000000730e+00 5.599999999999999943e-03 1.319399999999999906e+00 6.199999999999999782e-03
-3.164900000000000269e+00 6.000000000000000125e-03 1.399599999999999955e+00 6.800000000000000488e-03
-3.144900000000000695e+00 6.400000000000000307e-03 1.495400000000000063e+00 7.199999999999998936e-03
-3.124900000000000233e+00 6.599999999999999964e-03 1.586999999999999966e+00 7.599999999999999985e-03
-3.104900000000000659e+00 6.799999999999999621e-03 1.657000000000000028e+00 8.000000000000000167e-03
-3.084800000000000431e+00 7.000000000000000146e-03 1.692399999999999904e+00 8.199999999999998956e-03
-3.064799999999999969e+00 7.000000000000000146e-03 1.688400000000000123e+00 8.000000000000000167e-03
-3.044800000000000395e+00 7.199999999999999803e-03 1.648600000000000065e+00 7.799999999999999642e-03
-3.024799999999999933e+00 7.400000000000000328e-03 1.581999999999999851e+00 7.599999999999999985e-03
-3.004800000000000360e+00 7.799999999999999642e-03 1.500600000000000156e+00 7.599999999999999985e-03
-2.984700000000000131e+00 8.399999999999999481e-03 1.414600000000000080e+00 7.199999999999998936e-03
-2.964700000000000557e+00 8.800000000000000530e-03 1.331400000000000139e+00 7.199999999999998936e-03
-2.944700000000000095e+00 9.199999999999999845e-03 1.253600000000000048e+00 6.999999999999999278e-03
-2.924700000000000522e+00 9.400000000000000369e-03 1.181200000000000028e+00 6.800000000000000488e-03
-2.904700000000000060e+00 9.599999999999999159e-03 1.113399999999999945e+00 6.599999999999999964e-03
-2.884600000000000719e+00 9.400000000000000369e-03 1.049799999999999844e+00 6.400000000000000307e-03
-2.864600000000000257e+00 9.199999999999999845e-03 9.923999999999999488e-01 6.000000000000000125e-03
-2.844600000000000684e+00 8.999999999999999320e-03 9.449999999999999512e-01 5.800000000000000468e-03
-2.824600000000000222e+00 8.999999999999999320e-03 9.121999999999998998e-01 5.400000000000001153e-03
-2.804600000000000648e+00 8.999999999999999320e-03 8.981999999999999984e-01 5.200000000000000629e-03
-2.784500000000000419e+00 9.199999999999999845e-03 9.026000000000000689e-01 5.600000000000000810e-03
-2.764499999999999957e+00 9.599999999999999159e-03 9.217999999999999527e-01 5.799999999999999600e-03
-2.744500000000000384e+00 1.020000000000000073e-02 9.475999999999999979e-01 6.000000000000000125e-03
-2.724499999999999922e+00 1.080000000000000057e-02 9.717999999999999972e-01 6.000000000000000125e-03
-2.704500000000000348e+00 1.099999999999999936e-02 9.874000000000000554e-01 6.200000000000000649e-03
-2.684400000000000119e+00 1.119999999999999989e-02 9.926000000000000378e-01 6.200000000000000649e-03
-2.664400000000000546e+00 1.140000000000000041e-02 9.914000000000000590e-01 6.199999999999999782e-03
-2.644400000000000084e+00 1.119999999999999989e-02 9.909999999999999920e-01 6.199999999999999782e-03
