#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
# Band-Index    2
   2.47324    -12.791264  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   2.41932    -12.790177  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   2.36540    -12.787018  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   2.31148    -12.782073  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   2.25756    -12.775796  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   2.20364    -12.768770  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   2.14972    -12.761653  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   2.09580    -12.755114  0.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   2.04188    -12.749755  0.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   1.98796    -12.746043  0.714  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   1.93404    -12.744256  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   1.88012    -12.744453  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   1.82620    -12.746461  0.714  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   1.77228    -12.749917  0.714  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   1.71836    -12.754296  0.712  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   1.66444    -12.759001  0.710  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   1.61052    -12.763427  0.710  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.55660    -12.767029  0.708  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.50268    -12.769372  0.708  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.44876    -12.770184  0.707  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.709
   1.44876    -12.770184  0.707  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.709
   1.41024    -12.772191  0.706  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.709
   1.37172    -12.778136  0.706  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   1.33320    -12.787816  0.704  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   1.29468    -12.800898  0.703  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   1.25616    -12.816944  0.700  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   1.21764    -12.835435  0.697  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.17911    -12.855795  0.694  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.697
   1.14059    -12.877404  0.691  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.693
   1.10207    -12.899634  0.688  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.06355    -12.921863  0.685  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.687
   1.02503    -12.943493  0.682  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.684
   0.98651    -12.963965  0.679  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.682
   0.94799    -12.982774  0.677  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.679
   0.90947    -12.999470  0.675  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.677
   0.87095    -13.013664  0.673  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.675
   0.83243    -13.025039  0.671  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.674
   0.79391    -13.033345  0.670  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.673
   0.75539    -13.038400  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.71687    -13.040098  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.71687    -13.040098  0.669  0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.672
   0.67914    -12.994086  0.678  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.680
   0.64141    -12.952182  0.684  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.686
   0.60368    -12.914860  0.690  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   0.56595    -12.882436  0.696  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
