polAxis,  epsilon,  pIon,       pEle,     vol,     a,            b,            c,             shift
#Int,     Float,    e*Angst,    e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
2,        -0.008,   -21.29027,  0.00000,  461.68,  4.377713403,  4.259559101,  24.758526890,  0
2,        -0.004,   -21.37612,  0.00000,  463.54,  4.377713403,  4.276734743,  24.758526890,  0
2,        0.000,    -21.46197,  0.00000,  465.40,  4.377713403,  4.293910384,  24.758526890,  0
2,        0.004,    -21.54781,  0.00000,  467.26,  4.377713403,  4.311086026,  24.758526890,  0
2,        0.008,    -21.63366,  0.00000,  469.12,  4.377713403,  4.328261668,  24.758526890,  0
