polAxis,  epsilon,  pIon,      pEle,     vol,     a,            b,            c,             shift
#Int,     Float,    e*Angst,   e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
1,        -0.008,   13.86017,  1.55268,  461.68,  4.377713403,  4.259559101,  24.758526890,  0
1,        -0.004,   13.87225,  1.50580,  463.54,  4.377713403,  4.276734743,  24.758526890,  0
1,        0.000,    13.88321,  1.46653,  465.40,  4.377713403,  4.293910384,  24.758526890,  0
1,        0.004,    13.89537,  1.42155,  467.26,  4.377713403,  4.311086026,  24.758526890,  0
1,        0.008,    13.90764,  1.37717,  469.12,  4.377713403,  4.328261668,  24.758526890,  0
