 &plot nbnd= 142, nks=    81 /
            0.000000  0.000000  0.000000
            0.000000  0.000000  0.043345
 -197.473 -197.473 -197.408 -197.408 -197.408 -197.408 -142.381 -142.381 -142.381 -142.381
 -140.933 -140.933 -140.865 -140.865 -140.862 -140.862 -135.068 -135.068 -135.046 -135.046
 -135.002 -135.002 -134.999 -134.999 -134.974 -134.974 -134.971 -134.971  -98.991  -98.991
  -98.991  -98.991  -74.263  -74.263  -74.263  -74.263  -74.259  -74.259  -74.259  -74.259
  -37.723  -37.723  -37.692  -37.692  -37.645  -37.645  -37.639  -37.639  -37.608  -37.608
  -37.604  -37.604  -36.829  -36.829  -36.819  -36.819  -36.791  -36.791  -36.752  -36.752
  -36.746  -36.746  -36.738  -36.738  -36.732  -36.732  -36.705  -36.705  -36.701  -36.701
  -13.933  -13.933  -13.933  -13.933  -13.921  -13.921  -13.919  -13.919  -10.949  -10.949
  -10.947  -10.947  -10.930  -10.930  -10.929  -10.929  -10.926  -10.926  -10.926  -10.926
   -3.810   -3.810   -2.778   -2.778   -2.400   -2.400    0.714    0.714    1.631    1.631
    7.704    7.704    8.086    8.086    8.607    8.607    8.813    8.813    8.821    8.821
    9.134    9.134    9.388    9.388    9.818    9.818   10.083   10.083   10.672   10.672
   11.736   11.736   11.825   11.825   12.481   12.481   13.604   13.604   14.013   14.013
   16.236   16.236   16.847   16.847   17.413   17.413   17.487   17.487   17.784   17.784
   18.273   18.273
            0.000000  0.000000  0.054181
 -197.473 -197.473 -197.408 -197.408 -197.408 -197.408 -142.381 -142.381 -142.381 -142.381
 -140.933 -140.933 -140.865 -140.865 -140.861 -140.861 -135.068 -135.068 -135.046 -135.046
 -135.003 -135.003 -134.998 -134.998 -134.974 -134.974 -134.971 -134.971  -98.991  -98.991
  -98.991  -98.991  -74.263  -74.263  -74.263  -74.263  -74.259  -74.259  -74.259  -74.259
  -37.723  -37.723  -37.693  -37.693  -37.646  -37.646  -37.638  -37.638  -37.609  -37.609
  -37.603  -37.603  -36.830  -36.830  -36.819  -36.819  -36.791  -36.791  -36.753  -36.753
  -36.746  -36.746  -36.739  -36.739  -36.731  -36.731  -36.705  -36.705  -36.701  -36.701
  -13.933  -13.933  -13.933  -13.933  -13.921  -13.921  -13.919  -13.919  -10.949  -10.949
  -10.947  -10.947  -10.930  -10.930  -10.929  -10.929  -10.926  -10.926  -10.926  -10.926
   -3.805   -3.805   -2.823   -2.823   -2.352   -2.352    0.679    0.679    1.662    1.662
    7.670    7.670    8.118    8.118    8.595    8.595    8.811    8.811    8.848    8.848
    9.139    9.139    9.364    9.364    9.811    9.811   10.084   10.084   10.678   10.678
   11.762   11.762   11.810   11.810   12.496   12.496   13.589   13.589   13.994   13.994
   16.214   16.214   16.859   16.859   17.387   17.387   17.460   17.460   17.848   17.848
   18.318   18.318
            0.000000  0.000000  0.065017
