atoms,image-no,energy
8280,0,-927608.203208609
8280,1,-909869.328518299
8280,2,-888427.067197181
8280,3,-889091.781188987
8280,4,-899463.529234278
8280,5,-927083.468767468
8280,6,-962950.774558674
