strainAxisLabel,  polAxis,  epsilon,  pIon,      pEle,      vol,      a,            b,            c,             shift
#Char,            Integer,  Float,    e*Angst,   e*Angst,   Ang^3,    Ang,          Ang,          Ang,           Integer
X,                2,        -0.008,   20.27749,  -1.52481,  1072.11,  4.183590862,  8.520860939,  30.075131740,  0
X,                2,        -0.004,   20.27749,  -1.46698,  1076.44,  4.200460180,  8.520860939,  30.075131740,  0
X,                2,        0.000,    20.27749,  -1.41000,  1080.76,  4.217329498,  8.520860939,  30.075131740,  0
X,                2,        0.004,    20.27749,  -1.35379,  1085.08,  4.234198816,  8.520860939,  30.075131740,  0
X,                2,        0.008,    20.27749,  -1.29834,  1089.40,  4.251068134,  8.520860939,  30.075131740,  0
