#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2d polar coordinates 
   78.500      6.0236            6.3567           0.8499
   79.000      5.9508            6.7025           0.8517
   79.500      5.8823            7.0737           0.8534
   80.000      5.8179            7.4717           0.8550
   80.500      5.7574            7.8980           0.8565
   81.000      5.7007            8.3537           0.8579
   81.500      5.6477            8.8400           0.8592
   82.000      5.5983            9.3571           0.8605
   82.500      5.5524            9.9050           0.8616
   83.000      5.5098           10.4829           0.8627
   83.500      5.4705           11.0886           0.8636
   84.000      5.4345           11.7190           0.8645
   84.500      5.4016           12.3692           0.8654
   85.000      5.3717           13.0323           0.8661
   85.500      5.3449           13.6995           0.8668
   86.000      5.3210           14.3597           0.8674
   86.500      5.3001           14.9996           0.8679
   87.000      5.2820           15.6040           0.8683
   87.500      5.2668           16.1562           0.8687
   88.000      5.2544           16.6389           0.8690
   88.500      5.2447           17.0354           0.8693
   89.000      5.2378           17.3308           0.8694
   89.500      5.2337           17.5131           0.8695
   90.000      5.2324           17.5748           0.8696
   90.500      5.2337           17.5131           0.8695
   91.000      5.2378           17.3308           0.8694
   91.500      5.2447           17.0354           0.8693
   92.000      5.2544           16.6389           0.8690
   92.500      5.2668           16.1562           0.8687
   93.000      5.2820           15.6040           0.8683
   93.500      5.3001           14.9996           0.8679
   94.000      5.3210           14.3597           0.8674
   94.500      5.3449           13.6995           0.8668
   95.000      5.3717           13.0323           0.8661
   95.500      5.4016           12.3692           0.8654
   96.000      5.4345           11.7190           0.8645
   96.500      5.4705           11.0886           0.8636
   97.000      5.5098           10.4829           0.8627
   97.500      5.5524            9.9050           0.8616
   98.000      5.5983            9.3571           0.8605
   98.500      5.6477            8.8400           0.8592
   99.000      5.7007            8.3537           0.8579
   99.500      5.7574            7.8980           0.8565
  100.000      5.8179            7.4717           0.8550
  100.500      5.8823            7.0737           0.8534
  101.000      5.9508            6.7025           0.8517
  101.500      6.0236            6.3567           0.8499
  102.000      6.1007            6.0346           0.8479
  102.500      6.1824            5.7348           0.8459
  103.000      6.2688            5.4557           0.8437
  103.500      6.3602            5.1958           0.8415
  104.000      6.4567            4.9538           0.8391
  104.500      6.5586            4.7283           0.8365
  105.000      6.6662            4.5181           0.8338
  105.500      6.7796            4.3221           0.8310
  106.000      6.8992            4.1391           0.8280
  106.500      7.0253            3.9682           0.8249
  107.000      7.1581            3.8085           0.8216
  107.500      7.2981            3.6592           0.8181
  108.000      7.4455            3.5194           0.8144
  108.500      7.6008            3.3885           0.8105
  109.000      7.7644            3.2658           0.8065
  109.500      7.9367            3.1507           0.8022
  110.000      8.1182            3.0427           0.7976
  110.500      8.3094            2.9412           0.7929
  111.000      8.5109            2.8459           0.7879
  111.500      8.7231            2.7562           0.7826
  112.000      8.9468            2.6718           0.7770
  112.500      9.1825            2.5923           0.7711
  113.000      9.4309            2.5174           0.7649
  113.500      9.6929            2.4468           0.7584
  114.000      9.9692            2.3802           0.7515
  114.500     10.2605            2.3173           0.7442
  115.000     10.5679            2.2580           0.7366
  115.500     10.8921            2.2020           0.7285
  116.000     11.2343            2.1491           0.7200
  116.500     11.5953            2.0990           0.7110
  117.000     11.9764            2.0518           0.7015
  117.500     12.3787            2.0071           0.6915
  118.000     12.8033            1.9648           0.6809
  118.500     13.2515            1.9248           0.6697
  119.000     13.7245            1.8871           0.6579
  119.500     14.2237            1.8513           0.6455
  120.000     14.7502            1.8175           0.6323
  120.500     15.3056            1.7856           0.6185
  121.000     15.8909            1.7554           0.6039
  121.500     16.5076            1.7269           0.5885
  122.000     17.1567            1.7000           0.5724
  122.500     17.8393            1.6746           0.5553
  123.000     18.5562            1.6507           0.5375
  123.500     19.3082            1.6281           0.5187
  124.000     20.0955            1.6069           0.4991
  124.500     20.9182            1.5869           0.4786
  125.000     21.7758            1.5682           0.4572
  125.500     22.6672            1.5506           0.4350
  126.000     23.5907            1.5342           0.4120
  126.500     24.5438            1.5188           0.3882
  127.000     25.5228            1.5045           0.3638
  127.500     26.5234            1.4913           0.3389
  128.000     27.5396            1.4790           0.3136
  128.500     28.5645            1.4677           0.2880
  129.000     29.5896            1.4573           0.2625
  129.500     30.6050            1.4479           0.2371
  130.000     31.5996            1.4393           0.2124
  130.500     32.5609            1.4316           0.1884
  131.000     33.4754            1.4247           0.1656
  131.500     34.3289            1.4187           0.1443
  132.000     35.1069            1.4136           0.1249
  132.500     35.7950            1.4092           0.1078
  133.000     36.3796            1.4056           0.0932
  133.500     36.8484            1.4029           0.0815
  134.000     37.1912            1.4009           0.0730
  134.500     37.4001            1.3997           0.0678
  135.000     37.4703            1.3993           0.0660
  135.500     37.4001            1.3997           0.0678
  136.000     37.1912            1.4009           0.0730
  136.500     36.8484            1.4029           0.0815
  137.000     36.3796            1.4056           0.0932
  137.500     35.7950            1.4092           0.1078
  138.000     35.1069            1.4136           0.1249
  138.500     34.3289            1.4187           0.1443
  139.000     33.4754            1.4247           0.1656
  139.500     32.5609            1.4316           0.1884
  140.000     31.5996            1.4393           0.2124
  140.500     30.6050            1.4479           0.2371
  141.000     29.5896            1.4573           0.2625
  141.500     28.5645            1.4677           0.2880
  142.000     27.5396            1.4790           0.3136
  142.500     26.5234            1.4913           0.3389
  143.000     25.5228            1.5045           0.3638
  143.500     24.5438            1.5188           0.3882
  144.000     23.5907            1.5342           0.4120
  144.500     22.6672            1.5506           0.4350
  145.000     21.7758            1.5682           0.4572
  145.500     20.9182            1.5869           0.4786
  146.000     20.0955            1.6069           0.4991
  146.500     19.3082            1.6281           0.5187
  147.000     18.5562            1.6507           0.5375
  147.500     17.8393            1.6746           0.5553
  148.000     17.1567            1.7000           0.5724
  148.500     16.5076            1.7269           0.5885
  149.000     15.8909            1.7554           0.6039
  149.500     15.3056            1.7856           0.6185
  150.000     14.7502            1.8175           0.6323
  150.500     14.2237            1.8513           0.6455
  151.000     13.7245            1.8871           0.6579
  151.500     13.2515            1.9248           0.6697
  152.000     12.8033            1.9648           0.6809
  152.500     12.3787            2.0071           0.6915
  153.000     11.9764            2.0518           0.7015
  153.500     11.5953            2.0990           0.7110
  154.000     11.2343            2.1491           0.7200
  154.500     10.8921            2.2020           0.7285
  155.000     10.5679            2.2580           0.7366
  155.500     10.2605            2.3173           0.7442
  156.000      9.9692            2.3802           0.7515
  156.500      9.6929            2.4468           0.7584
  157.000      9.4309            2.5174           0.7649
  157.500      9.1825            2.5923           0.7711
  158.000      8.9468            2.6718           0.7770
  158.500      8.7231            2.7562           0.7826
  159.000      8.5109            2.8459           0.7879
  159.500      8.3094            2.9412           0.7929
  160.000      8.1182            3.0427           0.7976
  160.500      7.9367            3.1507           0.8022
  161.000      7.7644            3.2658           0.8065
  161.500      7.6008            3.3885           0.8105
  162.000      7.4455            3.5194           0.8144
  162.500      7.2981            3.6592           0.8181
  163.000      7.1581            3.8085           0.8216
  163.500      7.0253            3.9682           0.8249
  164.000      6.8992            4.1391           0.8280
