#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2d polar coordinates 
  344.500      6.7796            4.3221           0.8310
  345.000      6.6662            4.5181           0.8338
  345.500      6.5586            4.7283           0.8365
  346.000      6.4567            4.9538           0.8391
  346.500      6.3602            5.1958           0.8415
  347.000      6.2688            5.4557           0.8437
  347.500      6.1824            5.7348           0.8459
  348.000      6.1007            6.0346           0.8479
  348.500      6.0236            6.3567           0.8499
  349.000      5.9508            6.7025           0.8517
  349.500      5.8823            7.0737           0.8534
  350.000      5.8179            7.4717           0.8550
  350.500      5.7574            7.8980           0.8565
  351.000      5.7007            8.3537           0.8579
  351.500      5.6477            8.8400           0.8592
  352.000      5.5983            9.3571           0.8605
  352.500      5.5524            9.9050           0.8616
  353.000      5.5098           10.4829           0.8627
  353.500      5.4705           11.0886           0.8636
  354.000      5.4345           11.7190           0.8645
  354.500      5.4016           12.3692           0.8654
  355.000      5.3717           13.0323           0.8661
  355.500      5.3449           13.6995           0.8668
  356.000      5.3210           14.3597           0.8674
  356.500      5.3001           14.9996           0.8679
  357.000      5.2820           15.6040           0.8683
  357.500      5.2668           16.1562           0.8687
  358.000      5.2544           16.6389           0.8690
  358.500      5.2447           17.0354           0.8693
  359.000      5.2378           17.3308           0.8694
  359.500      5.2337           17.5131           0.8695
  360.000      5.2324           17.5748           0.8696
