atoms,image-no,energy
8280,0,-963408.849293807
8280,1,-942030.503055513
8280,2,-910177.74436008
8280,3,-888615.605113969
8280,4,-888223.143859081
8280,5,-914586.867255967
8280,6,-927201.984474694
