polAxis,  epsilon,  pIon,       pEle,     vol,     a,            b,            c,             shift
#Int,     Float,    e*Angst,    e*Angst,  Ang^3,   Ang,          Ang,          Ang,           Integer
2,        -0.008,   -21.46195,  0.00000,  461.68,  4.342691696,  4.293910384,  24.758526890,  0
2,        -0.004,   -21.46196,  0.00000,  463.54,  4.360202550,  4.293910384,  24.758526890,  0
2,        0.000,    -21.46197,  0.00000,  465.40,  4.377713403,  4.293910384,  24.758526890,  0
2,        0.004,    -21.46196,  0.00000,  467.26,  4.395224257,  4.293910384,  24.758526890,  0
2,        0.008,    -21.46196,  0.00000,  469.12,  4.412735111,  4.293910384,  24.758526890,  0
